 No CSV for Indus - mainrice, skipping...
 No CSV for Indus - secondrice, skipping...
 No CSV for Indus - maize, skipping...
 No CSV for Indus - soybean, skipping...
 No CSV for Indus - winterwheat, skipping...
 No CSV for Rhine - mainrice, skipping...
 No CSV for Rhine - secondrice, skipping...
 No CSV for Rhine - maize, skipping...
 No CSV for Rhine - soybean, skipping...
 No CSV for Rhine - winterwheat, skipping...
 No CSV for LaPlata - mainrice, skipping...
 No CSV for LaPlata - secondrice, skipping...
 No CSV for LaPlata - maize, skipping...
 No CSV for LaPlata - soybean, skipping...
 No CSV for LaPlata - winterwheat, skipping...
 No CSV for Yangtze - mainrice, skipping...
 No CSV for Yangtze - secondrice, skipping...
 No CSV for Yangtze - maize, skipping...
 No CSV for Yangtze - soybean, skipping...
 No CSV for Yangtze - winterwheat, skipping...
